"num_codigo";"num_codigo_exec";"num_codigo_liqu";"nom_orgao_orcamento_exec"
"2020.3.19.19601.313.3351.500102.5";"2020.3.19.19601.313.3351.500102.5";"2020.3878418.19601.0.500102.313.3351.33015.5";"Secretaria da Saúde"
"2025.3.19.19601.435.1099.500119.5";"2025.3.19.19601.435.1099.500119.5";"2025.5661015.19601.3.500119.435.1099.86553.5";"Secretaria da Saúde"
"2025.3.19.19601.435.1099.500119.5";"2025.3.19.19601.435.1099.500119.5";"2025.5661236.19601.0.500119.435.1099.86553.5";"Secretaria da Saúde"
"2024.3.11.11101.422.2984.500002.5";"2024.3.11.11101.422.2984.500002.5";"2024.5205443.11101.0.500002.422.2984.57444.5";"Secretaria da Educação"
"2024.3.11.11101.422.2984.500002.5";"2024.3.11.11101.422.2984.500002.5";"2024.5205186.11101.38.500002.422.2984.57444.5";"Secretaria da Educação"
"2023.3.11.11101.306.6597.500072.5";"2023.3.11.11101.306.6597.500072.5";"2023.4926508.11101.1.500072.306.6597.56924.5";"Secretaria da Educação"
"2023.3.11.11101.306.6597.500072.5";"2023.3.11.11101.306.6597.500072.5";"2023.4928593.11101.93.500072.306.6597.56924.5";"Secretaria da Educação"
"2023.3.11.11101.306.6597.500072.5";"2023.3.11.11101.306.6597.500072.5";"2023.4942423.11101.38.500072.306.6597.56924.5";"Secretaria da Educação"
"2023.3.11.11101.306.6597.500072.5";"2023.3.11.11101.306.6597.500072.5";"2023.4927060.11101.0.500072.306.6597.56924.5";"Secretaria da Educação"
"2023.3.11.11101.306.6597.500072.5";"2023.3.11.11101.306.6597.500072.5";"2023.4935462.11101.94.500072.306.6597.56924.5";"Secretaria da Educação"
"2024.3.19.19601.435.3354.500098.5";"2024.3.19.19601.435.3354.500098.5";"2024.5656029.19601.1.500098.435.3354.57490.5";"Secretaria da Saúde"
"2024.3.19.19601.435.3354.500098.5";"2024.3.19.19601.435.3354.500098.5";"2024.5656030.19601.0.500098.435.3354.57490.5";"Secretaria da Saúde"
"2024.3.19.19601.435.3354.500098.5";"2024.3.19.19601.435.3354.500098.5";"2024.5206372.19601.0.500098.435.3354.57490.5";"Secretaria da Saúde"
"2024.3.19.19601.435.3354.500098.5";"2024.3.19.19601.435.3354.500098.5";"2024.5206128.19601.1.500098.435.3354.57490.5";"Secretaria da Saúde"
"2018.3.19.19601.200.1099.500009.5";"2018.3.19.19601.200.1099.500009.5";"2018.2715716.19601.3.500009.200.1099.22441.5";"Secretaria da Saúde"
"2018.3.19.19601.200.1099.500009.5";"2018.3.19.19601.200.1099.500009.5";"2018.2716154.19601.0.500009.200.1099.22441.5";"Secretaria da Saúde"
"2021.3.21.21301.308.5793.500044.5";"2021.3.21.21301.308.5793.500044.5";"2021.4219473.21301.1.500044.308.5793.35766.5";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2021.3.21.21301.308.5793.500044.5";"2021.3.21.21301.308.5793.500044.5";"2021.4219849.21301.0.500044.308.5793.35766.5";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2019.3.19.19601.200.5032.500075.5";"2019.3.19.19601.200.5032.500075.5";"2019.3181925.19601.0.500075.200.5032.27719.5";"Secretaria da Saúde"
"2019.3.19.19601.200.5032.500075.5";"2019.3.19.19601.200.5032.500075.5";"2019.3181757.19601.8.500075.200.5032.27719.5";"Secretaria da Saúde"
"2019.3.19.19601.200.5032.500075.5";"2019.3.19.19601.200.5032.500075.5";"2019.3874275.19601.3.500075.200.5032.27719.5";"Secretaria da Saúde"
"2025.3.19.19601.435.1099.500116.5";"2025.3.19.19601.435.1099.500116.5";"2025.5661223.19601.3.500116.435.1099.86542.5";"Secretaria da Saúde"
"2025.3.19.19601.435.1099.500116.5";"2025.3.19.19601.435.1099.500116.5";"2025.5661339.19601.0.500116.435.1099.86542.5";"Secretaria da Saúde"
"2024.3.26.26401.419.1158.500104.5";"2024.3.26.26401.419.1158.500104.5";"2024.5204881.26401.1.500104.419.1158.57496.5";"Secretaria de Desenvolvimento Urbano"
"2024.3.26.26401.419.1158.500104.5";"2024.3.26.26401.419.1158.500104.5";"2024.5205020.26401.0.500104.419.1158.57496.5";"Secretaria de Desenvolvimento Urbano"
"2025.3.20.20801.425.5354.500123.5";"2025.3.20.20801.425.5354.500123.5";"2025.5661277.20801.0.500123.425.5354.86554.5";"Secretaria da Segurança Pública"
"2025.3.20.20801.425.5354.500123.5";"2025.3.20.20801.425.5354.500123.5";"2025.5661043.20801.1.500123.425.5354.86554.5";"Secretaria da Segurança Pública"
"2025.3.20.20801.425.5354.500123.5";"2025.3.20.20801.425.5354.500123.5";"2025.5661207.20801.1.500123.425.5354.86554.5";"Secretaria da Segurança Pública"
"2025.3.20.20801.425.5354.500123.5";"2025.3.20.20801.425.5354.500123.5";"2025.5668932.20801.27.500123.425.5354.86554.5";"Secretaria da Segurança Pública"
"2025.3.20.20801.425.5354.500123.5";"2025.3.20.20801.425.5354.500123.5";"2025.5668929.20801.27.500123.425.5354.86554.5";"Secretaria da Segurança Pública"
"2025.3.20.20801.425.5354.500123.5";"2025.3.20.20801.425.5354.500123.5";"2025.5661310.20801.0.500123.425.5354.86554.5";"Secretaria da Segurança Pública"
"2020.3.11.11101.306.4023.500074.5";"2020.3.11.11101.306.4023.500074.5";"2020.3888872.11101.1.500074.306.4023.31019.5";"Secretaria da Educação"
"2020.3.11.11101.306.4023.500074.5";"2020.3.11.11101.306.4023.500074.5";"2020.3888818.11101.0.500074.306.4023.31019.5";"Secretaria da Educação"
"2025.3.32.32802.411.5893.500103.5";"2025.3.32.32802.411.5893.500103.5";"2025.5660884.32802.1.500103.411.5893.86532.5";"Secretaria de Turismo"
"2025.3.32.32802.411.5893.500103.5";"2025.3.32.32802.411.5893.500103.5";"2025.5660942.32802.0.500103.411.5893.86532.5";"Secretaria de Turismo"
"2024.3.11.11101.425.3332.500049.5";"2024.3.11.11101.425.3332.500049.5";"2024.5227223.11101.1.500049.425.3332.57462.5";"Secretaria da Educação"
"2024.3.11.11101.425.3332.500049.5";"2024.3.11.11101.425.3332.500049.5";"2024.5227149.11101.0.500049.425.3332.57462.5";"Secretaria da Educação"
"2020.3.11.11101.306.2984.500071.5";"2020.3.11.11101.306.2984.500071.5";"2020.3878116.11101.1.500071.306.2984.31010.5";"Secretaria da Educação"
"2020.3.11.11101.306.2984.500071.5";"2020.3.11.11101.306.2984.500071.5";"2020.3885667.11101.38.500071.306.2984.31010.5";"Secretaria da Educação"
"2020.3.11.11101.306.2984.500071.5";"2020.3.11.11101.306.2984.500071.5";"2020.3878378.11101.0.500071.306.2984.31010.5";"Secretaria da Educação"
"2020.3.19.19601.313.1099.500082.5";"2020.3.19.19601.313.1099.500082.5";"2020.3879979.19601.3.500082.313.1099.31018.5";"Secretaria da Saúde"
"2020.3.19.19601.313.1099.500082.5";"2020.3.19.19601.313.1099.500082.5";"2020.3878298.19601.1.500082.313.1099.31018.5";"Secretaria da Saúde"
"2020.3.19.19601.313.1099.500082.5";"2020.3.19.19601.313.1099.500082.5";"2020.3878414.19601.0.500082.313.1099.31018.5";"Secretaria da Saúde"
"2019.3.19.19601.200.1099.500073.5";"2019.3.19.19601.200.1099.500073.5";"2019.3181896.19601.0.500073.200.1099.27429.5";"Secretaria da Saúde"
"2019.3.19.19601.200.1099.500073.5";"2019.3.19.19601.200.1099.500073.5";"2019.3181855.19601.3.500073.200.1099.27429.5";"Secretaria da Saúde"
"2026.3.32.32101.411.3701.500074.5";"2026.3.32.32101.411.3701.500074.5";"2026.6182535.32101.3.500074.411.3701.93692.5";"Secretaria de Turismo"
"2026.3.32.32101.411.3701.500074.5";"2026.3.32.32101.411.3701.500074.5";"2026.6183160.32101.0.500074.411.3701.93692.5";"Secretaria de Turismo"
"2019.3.11.11101.212.7744.500032.5";"2019.3.11.11101.212.7744.500032.5";"2019.3182145.11101.1.500032.212.7744.25690.5";"Secretaria da Educação"
"2019.3.11.11101.212.7744.500032.5";"2019.3.11.11101.212.7744.500032.5";"2019.3184601.11101.38.500032.212.7744.25690.5";"Secretaria da Educação"
"2019.3.11.11101.212.7744.500032.5";"2019.3.11.11101.212.7744.500032.5";"2019.3182223.11101.0.500032.212.7744.25690.5";"Secretaria da Educação"
"2019.3.11.11101.212.7744.500032.5";"2019.3.11.11101.212.7744.500032.5";"2019.3184596.11101.38.500032.212.7744.25690.5";"Secretaria da Educação"
"2019.3.11.11101.212.7744.500032.5";"2019.3.11.11101.212.7744.500032.5";"2019.3182256.11101.0.500032.212.7744.25690.5";"Secretaria da Educação"
"2019.3.11.11101.212.7744.500032.5";"2019.3.11.11101.212.7744.500032.5";"2019.3182124.11101.1.500032.212.7744.25690.5";"Secretaria da Educação"
"2026.3.32.32101.411.3701.500124.5";"2026.3.32.32101.411.3701.500124.5";"2026.6190762.32101.3.500124.411.3701.93964.5";"Secretaria de Turismo"
"2026.3.32.32101.411.3701.500124.5";"2026.3.32.32101.411.3701.500124.5";"2026.6190643.32101.0.500124.411.3701.93964.5";"Secretaria de Turismo"
"2020.3.11.11101.306.7744.500002.5";"2020.3.11.11101.306.7744.500002.5";"2020.3885748.11101.38.500002.306.7744.30597.5";"Secretaria da Educação"
"2020.3.11.11101.306.7744.500002.5";"2020.3.11.11101.306.7744.500002.5";"2020.3878639.11101.0.500002.306.7744.30597.5";"Secretaria da Educação"
"2020.3.11.11101.306.7744.500002.5";"2020.3.11.11101.306.7744.500002.5";"2020.3877816.11101.1.500002.306.7744.30597.5";"Secretaria da Educação"
