"Ano Exercício";"Órgão";"sgl_orgao_orcamento";"Unidade Orçamentária";"nom_res_unidade_orcamentaria";"Ministério de Origem da Emenda";"Número da Emenda Parlamentar";"Ano da Emenda";"Deputado";"Ação do Programa de Governo";"COD_SUBFONTE_RECURSO";"num_codigo";"Valor Orçado Inicial";"Valor Orçado Atual";"Valor Empenhado Total";"Valor Liquidado Total";"Valor Pago"
"2025";"Secretaria de Justiça e Direitos Humanos";"SJDH";"Assessoria de Planejamento e Gestão - SJDH";"APG";"MF";"13390020";"2024 ";" Daniel Almeid";"Promoção, Proteção e Defesa dos Direitos";"600063";"2025.3.38.38101.401.3285.600063.6";"0,00";"300000,00";"0,00";"0,00";"0,00"
"2025";"Secretaria da Educação";"SEC";"Universidade Estadual do Sudoeste da Bahia";"UESB";"ME";"24680012";"2022 ";" Lídice da Mata";"Infraestrutura em Unidade Universitária";"600031";"2025.3.11.11302.424.7867.600031.6";"0,00";"45000,00";"28012,00";"28012,00";"28012,00"
"2025";"Secretaria de Desenvolvimento Urbano";"SEDUR";"Assessoria de Planejamento e Gestão - SEDUR";"APG";"MC";"09032025-076695";"";"2025";"Implantação de Infraestrutura Viária";"600081";"2025.3.26.26101.419.1162.600081.6";"0,00";"12307410,00";"0,00";"0,00";"0,00"
"2024";"Secretaria de Desenvolvimento Urbano";"SEDUR";"Companhia de Desenvolvimento Urbano do Estado da Bahia";"CONDER";"ME";"91910004";"2022 ";" Zé Neto";"Requalificação de Equipamento Urbano";"600038";"2024.3.26.26401.419.5183.600038.6";"0,00";"1800000,00";"963749,62";"813749,62";"813749,62"
"2025";"Secretaria de Políticas para as Mulheres";"SPM";"Assessoria de Planejamento e Gestão - SPM";"APG";"ME";"13310004";"2022 ";" Alice Portugal";"Apoio a Instituição de Participação Soci";"600027";"2025.3.34.34101.430.4239.600027.6";"0,00";"100000,00";"92333,33";"92333,33";"0,00"
"2025";"Secretaria de Desenvolvimento Urbano";"SEDUR";"Companhia de Desenvolvimento Urbano do Estado da Bahia";"CONDER";"MF";"91910001";"2023";" Zé Neto";"Implantação de Infraestrutura Viária";"600056";"2025.3.26.26401.419.1162.600056.6";"0,00";"1636272,00";"1636272,00";"1636272,00";"1636272,00"
"2023";"Secretaria de Ciência, Tecnologia e Inovação";"SECTI";"Assessoria de Planejamento e Gestão - SECTI";"APG";"MAPA";"36940005";"2022 ";" Jorge Solla";"Implantação de Infraestrutura de Wi-Fi";"600036";"2023.3.28.28101.301.7917.600036.6";"0,00";"300000,00";"250513,02";"250513,02";"250513,02"
"2026";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"MF";"91919910";"2024";" zé Neto";"Distribuição de Equipamento de Apoio";"600057";"2026.3.18.18401.417.1399.600057.6";"0,00";"492956,00";"410058,70";"410058,70";"410058,70"
"2021";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Assessoria de Planejamento e Gestão - SETRE";"APG";"ME";"41280009";"2021 ";" Raimundo Costa";"Construção de Equipamento";"600014";"2021.3.21.21101.305.7882.600014.6";"0,00";"150000,00";"0,00";"0,00";"0,00"
"2021";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"ME";"30510014";"2021 ";" Bacelar";"Implantação de Projeto de Apoio";"600012";"2021.3.18.18401.304.1926.600012.6";"0,00";"300000,00";"0,00";"0,00";"0,00"
"2023";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"ME";"41900003";"2021 ";" Joseildo Ramos";"Promoção de Atividade de Esporte";"600019";"2023.3.21.21301.303.5779.600019.6";"0,00";"22296,00";"22296,00";"22296,00";"22296,00"
"2024";"Secretaria de Ciência, Tecnologia e Inovação";"SECTI";"Assessoria de Planejamento e Gestão - SECTI";"APG";"MGISP";"24680011";"2023 ";" Lídice da Mata";"Apoio à Produção de Conteúdo Audiovisual";"600046";"2024.3.28.28101.405.5253.600046.6";"0,00";"150000,00";"0,00";"0,00";"0,00"
"2023";"Secretaria de Desenvolvimento Urbano";"SEDUR";"Assessoria de Planejamento e Gestão - SEDUR";"APG";"MGISP";"36940005";"2023 ";" Jorge Solla";"Implantação de Infraestrutura Viária";"600053";"2023.3.26.26101.305.1162.600053.6";"0,00";"4100000,00";"495808,73";"365808,73";"365808,73"
"2026";"Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura";"SEAGRI";"Assessoria de Planejamento e Gestão - SEAGRI";"APG";"MPA";"09032025-2-087387";"";"2025";"Distribuição de Equipamentos de Pesca";"600159";"2026.3.10.10101.417.5916.600159.6";"0,00";"275220,00";"0,00";"0,00";"0,00"
"2024";"Secretaria de Turismo";"SETUR";"Assessoria de Planejamento e Gestão - SETUR";"APG";"MF";"36940011";"2024 ";" Jorge Solla";"Apoio à Realização de Evento";"600066";"2024.3.32.32101.411.3701.600066.6";"0,00";"500000,00";"500000,00";"500000,00";"500000,00"
"2024";"Secretaria de Turismo";"SETUR";"Superintendência de Fomento ao Turismo do Estado da Bahia";"SUFOTUR";"MF";"13390020";"2024 ";" Daniel Almeid";"Apoio a Evento de Interesse Turístico";"600063";"2024.3.32.32802.411.5893.600063.6";"0,00";"200000,00";"200000,00";"0,00";"0,00"
"2020";"Secretaria de Políticas para as Mulheres";"SPM";"Assessoria de Planejamento e Gestão - SPM";"APG";"Ministério da Economia";"27510007";"2020";"Não Informado";"Realização de Caravana";"600002";"2020.3.34.34101.311.5550.600002.6";"0,00";"100000,00";"0,00";"0,00";"0,00"
"2026";"Secretaria de Justiça e Direitos Humanos";"SJDH";"Assessoria de Planejamento e Gestão - SJDH";"APG";"MF";"41660001";"2024";" Pastor Isidório";"Aparelhamento de Unidade do Poder Execut";"600062";"2026.3.38.38101.446.3194.600062.6";"0,00";"956644,00";"0,00";"0,00";"0,00"
"2021";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"ME";"41900003";"2021 ";" Joseildo Ramos";"Apoio à Comercialização Produção Rural";"600019";"2021.3.18.18401.304.7838.600019.6";"0,00";"1100000,00";"0,00";"0,00";"0,00"
"2024";"Secretaria de Justiça e Direitos Humanos";"SJDH";"Assessoria de Planejamento e Gestão - SJDH";"APG";"MGISP";"24680011";"2023 ";" Lídice da Mata";"Apoio Técnico e Financeiro a Entidade";"600046";"2024.3.38.38101.400.2170.600046.6";"0,00";"360000,00";"260000,00";"260000,00";"260000,00"
"2022";"Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura";"SEAGRI";"Assessoria de Planejamento e Gestão - SEAGRI";"APG";"ME";"36940021";"2020 ";" Jorge Solla";"Distribuição de Equipamento";"600000";"2022.3.10.10101.304.7385.600000.6";"0,00";"360000,00";"360000,00";"360000,00";"360000,00"
"2025";"Secretaria de Políticas para as Mulheres";"SPM";"Assessoria de Planejamento e Gestão - SPM";"APG";"MF";"28710017";"2024 ";" Afonso Florenc";"Apoio a Instituição de Participação Soci";"600073";"2025.3.34.34101.430.4239.600073.6";"0,00";"700000,00";"646333,31";"0,00";"0,00"
"2025";"Secretaria de Turismo";"SETUR";"Assessoria de Planejamento e Gestão - SETUR";"APG";"MF";"09032025-076331";"";"2025";"Apoio à Realização de Evento";"600154";"2025.3.32.32101.411.3701.600154.6";"0,00";"990000,00";"990000,00";"990000,00";"985000,00"
"2026";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"ME";"91910007";"2021 ";" Zé Neto";"Aparelhamento de Unidade Escolar";"600020";"2026.3.11.11101.425.7744.600020.6";"0,00";"34750,00";"0,00";"0,00";"0,00"
"2024";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"MF";"91910001";"2023";" Zé Neto";"Requalificação de Equipamento Esportivo";"600056";"2024.3.21.21301.414.1009.600056.6";"0,00";"2000000,00";"0,00";"0,00";"0,00"
"2025";"Secretaria de Justiça e Direitos Humanos";"SJDH";"Assessoria de Planejamento e Gestão - SJDH";"APG";"MF";"27510001";"2024";"Waldenor Pereira";"Apoio ao Neojibá";"600059";"2025.3.38.38101.400.6953.600059.6";"0,00";"200000,00";"200000,00";"200000,00";"200000,00"
"2026";"Secretaria de Desenvolvimento Rural";"SDR";"Assessoria de Planejamento e Gestão - SDR";"APG";"ME";"91910004";"2022 ";" Zé Neto";"Implantação de Projeto de Apoio";"600038";"2026.3.18.18101.417.1926.600038.6";"0,00";"83068,00";"82000,00";"82000,00";"82000,00"
"2023";"Secretaria de Cultura";"SECULT";"Assessoria de Planejamento e Gestão - SECULT";"APG";"ME";"30510006";"2022 ";" Bacelar";"Requalificação de Equipamento Cultural";"600034";"2023.3.22.22101.302.7857.600034.6";"0,00";"100000,00";"0,00";"0,00";"0,00"
"2025";"Secretaria de Turismo";"SETUR";"Assessoria de Planejamento e Gestão - SETUR";"APG";"MTUR";"09032025-2-087124";"";"2025";"Apoio à Realização de Evento";"600166";"2025.3.32.32101.411.3701.600166.6";"0,00";"270763,00";"0,00";"0,00";"0,00"
"2025";"Secretaria de Desenvolvimento Rural";"SDR";"Assessoria de Planejamento e Gestão - SDR";"APG";"MF";"27510001";"2024";"Waldenor Pereira";"Distribuição de Equipamento de Apoio";"600059";"2025.3.18.18101.417.1399.600059.6";"0,00";"49999,00";"0,00";"0,00";"0,00"
"2025";"Secretaria de Desenvolvimento Rural";"SDR";"Assessoria de Planejamento e Gestão - SDR";"APG";"MDA";"09032025-076982 ";"";" 2025";"Distribuição de Equipamento de Apoio";"600089";"2025.3.18.18101.417.1399.600089.6";"0,00";"3465000,00";"386931,81";"386931,81";"386931,81"
"2023";"Secretaria da Educação";"SEC";"Universidade Estadual do Sudoeste da Bahia";"UESB";"ME";"27510004";"2021 ";" Waldenor Perei";"Construção de Espaço Físico";"600009";"2023.3.11.11302.306.7863.600009.6";"0,00";"0,00";"0,00";"0,00";"0,00"
"2024";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"MF";"41900001";"2023";" Joseildo Ramos";"Promoção de Atividade de Esporte";"600050";"2024.3.21.21301.414.5779.600050.6";"0,00";"20000,00";"20000,00";"20000,00";"20000,00"
"2025";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"MF";"13310007";"2024 ";" Alice Portugal";"Promoção de Atividade de Esporte";"600060";"2025.3.21.21301.414.5779.600060.6";"0,00";"420000,00";"420000,00";"420000,00";"420000,00"
"2025";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"ME";"40720003";"2021 ";" Tito";"Requalificação de Equipamento Esportivo";"600013";"2025.3.21.21301.414.1009.600013.6";"0,00";"182243,00";"0,00";"0,00";"0,00"
"2020";"Secretaria da Segurança Pública";"SSP";"Departamento de Polícia Técnica";"DPT";"Ministério da Economia";"27510007";"2020";"Não Informado";"Reforma de Unidade do Sistema";"600002";"2020.3.20.20102.314.7880.600002.6";"0,00";"50000,00";"0,00";"0,00";"0,00"
"2024";"Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura";"SEAGRI";"Bahia Pesca S/A";"BAHIAPESCA";"ME";"24680012";"2022 ";" Lídice da Mata";"Distribuição de Equipamentos de Pesca";"600031";"2024.3.10.10501.417.5916.600031.6";"0,00";"500000,00";"495369,60";"449400,00";"449400,00"
"2020";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Ministério da Economia";"13390001";"2020";"Não Informado";"Distribuição de Equipamento de Apoio";"600001";"2020.3.18.18401.304.1399.600001.6";"0,00";"350000,00";"275026,30";"275026,30";"275026,30"
"2023";"Secretaria de Cultura";"SECULT";"Fundação Pedro Calmon - Centro de Memória e Arquivo Público da Bahia";"FPC-AP";"ME";"27510007";"2020 ";" Waldenor Perei";"Realização de Evento Artístico-Cultural";"600002";"2023.3.22.22202.302.7986.600002.6";"0,00";"0,00";"0,00";"0,00";"0,00"
"2021";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"ME";"13310003";"2021 ";" Alice Portugal";"Construção de Equipamento";"600003";"2021.3.21.21301.305.7882.600003.6";"0,00";"1000000,00";"0,00";"0,00";"0,00"
"2022";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"ME";"40720004";"2021 ";" Tito";"Construção de Equipamento";"600021";"2022.3.21.21301.305.7882.600021.6";"0,00";"0,00";"0,00";"0,00";"0,00"
