"num_codigo";"num_codigo_exec";"num_codigo_liqu";"nom_orgao_orcamento_exec"
"2025.3.22.22101.406.7980.600063.6";"2025.3.22.22101.406.7980.600063.6";"2025.5669042.22101.0.600063.406.7980.91446.6";"Secretaria de Cultura"
"2025.3.32.32101.411.3701.600066.6";"2025.3.32.32101.411.3701.600066.6";"2025.5671191.32101.3.600066.411.3701.91438.6";"Secretaria de Turismo"
"2026.3.18.18401.417.1399.600057.6";"2026.3.18.18401.417.1399.600057.6";"2026.6190616.18401.0.600057.417.1399.95222.6";"Secretaria de Desenvolvimento Rural"
"2026.3.26.26101.419.1162.600057.6";"2026.3.26.26101.419.1162.600057.6";"2026.6190827.26101.4.600057.419.1162.95222.6";"Secretaria de Desenvolvimento Urbano"
"2026.3.39.39101.403.5445.600056.6";"2026.3.39.39101.403.5445.600056.6";"2026.6192415.39101.2.600056.403.5445.97010.6";"Secretaria de Assistência e Desenvolvimento Social"
"2025.3.26.26101.419.5183.600042.6";"2025.3.26.26401.419.5183.600042.6";"2025.5677344.26401.2.600042.419.5183.90193.6";"Secretaria de Desenvolvimento Urbano"
"2021.3.18.18401.312.5040.600002.6";"2021.3.18.18401.312.5040.600002.6";"2021.4225462.18401.1.600002.312.5040.46524.6";"Secretaria de Desenvolvimento Rural"
"2022.3.24.24801.309.7911.600006.6";"2022.3.24.24801.309.7911.600006.6";"2022.4575017.24801.0.600006.309.7911.51875.6";"Secretaria de Infraestrutura"
"2022.3.26.26101.305.1158.600020.6";"2022.3.26.26101.305.1158.600020.6";"2022.4586305.26101.4.600020.305.1158.51889.6";"Secretaria de Desenvolvimento Urbano"
"2024.3.24.24801.432.7911.600048.6";"2024.3.24.24801.432.7911.600048.6";"2024.5215695.24801.1.600048.432.7911.62308.6";"Secretaria de Infraestrutura"
"2024.3.38.38101.400.2170.600038.6";"2024.3.38.38101.400.2170.600038.6";"2024.5214259.38101.3.600038.400.2170.61652.6";"Secretaria de Justiça e Direitos Humanos"
"2025.3.21.21301.414.1009.600029.6";"2025.3.21.21301.414.1009.600029.6";"2025.5670581.21301.1.600029.414.1009.90228.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2025.3.22.22101.406.2314.600067.6";"2025.3.22.22101.406.2314.600067.6";"2025.5676824.22101.0.600067.406.2314.91386.6";"Secretaria de Cultura"
"2025.3.26.26101.419.1158.600057.6";"2025.3.26.26101.419.1158.600057.6";"2025.5674136.26101.4.600057.419.1158.91415.6";"Secretaria de Desenvolvimento Urbano"
"2025.3.32.32802.411.5893.600063.6";"2025.3.32.32802.411.5893.600063.6";"2025.6176734.32802.1.600063.411.5893.91446.6";"Secretaria de Turismo"
"2025.3.32.32802.411.5893.600167.6";"2025.3.32.32802.411.5893.600167.6";"2025.6181444.32802.0.600167.411.5893.97789.6";"Secretaria de Turismo"
"2026.3.32.32101.411.3701.600102.6";"2026.3.32.32101.411.3701.600102.6";"2026.6187650.32101.3.600102.411.3701.97600.6";"Secretaria de Turismo"
"2026.3.10.10101.417.5916.600111.6";"2026.3.10.10501.417.5916.600111.6";"2026.6189185.10501.1.600111.417.5916.97630.6";"Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura"
"2025.3.22.22101.407.1251.600067.6";"2025.3.22.22301.407.1251.600067.6";"2025.5678896.22101.1.600067.407.1251.91386.6";"Secretaria de Cultura"
