"Ano Exercício";"Órgão";"sgl_orgao_orcamento";"Unidade Orçamentária";"nom_res_unidade_orcamentaria";"Ação do Programa de Governo";"cod_subfonte_recurso";"Deputado";"Nome do Deputado";"num_codigo";"Valor Orçado Inicial.";"Valor Orçado Atual.";"Valor Empenhado.";"Valor Liquidado.";"Valor Pago."
"2021";"Secretaria do Meio Ambiente";"SEMA";"Assessoria de Planejamento e Gestão - SEMA";"APG";"Capacitação em Gestão Ambiental";"500112";"  Robinson Almeida";"  Robinson Almeida";"2021.3.27.27101.310.1211.500112.5";"20000,00";"20000,00";"19809,72";"19809,72";"19809,72"
"2019";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação e Renovação Frota de Veículos";"500044";"  Neusa Cadore";"  Neusa Cadore";"2019.3.19.19601.200.7850.500044.5";"100000,00";"100000,00";"94800,00";"0,00";"0,00"
"2024";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Assessoria de Planejamento e Gestão - SETRE";"APG";"Apoio a Geração de Trabalho e Renda";"500063";"  Zé Raimundo";"  Zé Raimundo";"2024.3.21.21101.413.5917.500063.5";"60000,00";"60000,00";"58800,00";"58800,00";"58800,00"
"2020";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade de Educação";"500036";"  Marcelino Galo";"  Marcelino Galo";"2020.3.11.11101.306.5134.500036.5";"9160,00";"9160,00";"0,00";"0,00";"0,00"
"2020";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Gestão Direta";"500115";"  Zé Cocá";"  Zé Cocá";"2020.3.19.19601.313.2641.500115.5";"0,00";"0,00";"0,00";"0,00";"0,00"
"2020";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Oferta de Transporte Escolar Município";"500113";"  Talita Oliveira";"  Talita Oliveira";"2020.3.11.11101.306.2984.500113.5";"388000,00";"388000,00";"387264,00";"0,00";"0,00"
"2021";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Oferta de Transporte Escolar Município";"500096";"  Diego Coronel";"  Diego Coronel";"2021.3.11.11101.306.2984.500096.5";"407400,00";"361080,00";"361080,00";"0,00";"0,00"
"2021";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Ampliação de Unidade Escolar da Educação";"500071";"  David Rios";"  David Rios";"2021.3.11.11101.306.7531.500071.5";"52100,00";"52100,00";"0,00";"0,00";"0,00"
"2026";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500055";"  Sandro Régis";"  Sandro Régis";"2026.3.19.19601.435.1099.500055.5";"350000,00";"350000,00";"350000,00";"0,00";"0,00"
"2026";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade de Educação";"500069";"  Antonio Henrique Junior";"  Antonio Henrique Junior";"2026.3.11.11101.423.5134.500069.5";"110000,00";"110000,00";"0,00";"0,00";"0,00"
