"num_empenho_orcamento";"num_processo_sist_elet_info"
"1960100032200012094";"01949752022002880204"
"1960100032200025366";"01949752022004838418"
"1960100032200026141";"01949752022004835231"
"1960100032200096379";"01949752022018073494"
"1960100032200024750";"01949752022004833114"
"1960100032500012350";"01949752025002447538"
"1960100032500070873";"01949752025015298161"
"1960100032500007101";"01949752025000561597"
"1960100032500001863";"01949752025000521536"
"1960100032500103178";"01949752025023904636"
"1960100032500103887";"01949752025023902935"
"1960100032500031258";"01949752025006603071"
"1130300012500024326";"07107252025002641802"
"1960100032300046858";"01949752023009148101"
"1130300012500037878";"07132902025003800950"
"3280200012500039232";"03222982025000586651"
"3280200012500034206";"03222982025000586228"
"2080100962400011951";"03026692024019727104"
"1960100032100103575";"01949752021011788624"
"1110100382000002382";"01156162020001338259"
"1960100032400014421";"01949752024000762478"
"1110100462200005252";"01155772022001767798"
"1110100012400061791";"011163272024005540751"
"3280200012400050614";"03222982024000677354"
"1960100032300075238";"01949752023016230615"
"3210100032500032929";"03213132025001253480"
"3210100032500020351";"03213132025000302746"
"3410100012400009177";"042172942024000113030"
"1110100382500020745";"01156182025002865979"
"1110100012500055247";"011163272025009028311"
"1960100032400102770";"01949752024020848327"
"1960100032400008618";"01949752024001421186"
"1960100032400023137";"01949752024003577931"
"1960100032400017773";"01949752024002148793"
"1960100032400022203";"01949752024003612949"
"1110100942500013950";"01155712025008538661"
"1110100942500007098";"01155712025007790545"
"1960100032000080943";"01949752020009613919"
"1110100462300034992";"01155792023005450212"
"1960100032200025080";"01949752022004850469"
"1960100032200024343";"01949752022004834510"
"2130100012100014922";"06914752021000040201"
"1960100032500012369";"01949752025002447538"
"1960100032500105642";"01949752025023889319"
"1960100032500014361";"01949752025002462928"
"1960100032500017336";"01949752025003653999"
"1960100032500021831";"01949752025005141499"
"1960100032500074240";"01949752025015031599"
"1960100032500057885";"01949752025012156099"
"1960100032500002584";"01949752025000557212"
"1960100032500026327";"01949752025003655690"
"1960100032500103062";"01949752025023890236"
"1960100032200052274";"01949752022008405711"
"2130100012100014248";"06914652021000083469"
"2130100012100013799";"06914652021000083469"
"2130100012100020094";"06914652021000361370"
"1960100032300046963";"01949752023009148101"
"1130400012300058142";"07385262023003416771"
"2230100011900020359";"06219832019000354516"
"2010100012500006075";"03099642025002568817"
"1050100011900014863";"03287022019000309299"
"3280200012500035857";"03222982025000808735"
"3280200012500034540";"03222982025000667571"
"2080100732400036869";"030196362024023807046"
"2130100012200016172";"06914652022000175925"
"1960100032400076710";"01949752024007755361"
"1110100462200092831";"01155792022008341448"
"1110100832400001679";"01192542024006258483"
"1110100382200011498";"01187502022004204213"
"1960100012400114049";"01983582024021800373"
"3280200012400062701";"03222982024000709655"
"1960100032300016606";"01949752023003446576"
"1960100032300075599";"01949752023016234360"
"1960100032300016169";"01949752023003307029"
"1960100032300106923";"01949752023021409601"
"3210100032500011344";"03213132025000437323"
"3210100032500022321";"03213132025000625839"
"3210100032500009889";"03213132025000374496"
"3210100032500018268";"03213132025000634315"
"3210100032500011557";"03213132025000364857"
"2080300132400008376";"08993462024004856610"
